,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
83,Namibia,39.74,16.67,28.65,32.66,35.68,49.16,2016
84,Libya,39.66,14.08,27.36,39.71,32.17,62.51,2016
85,Vietnam,39.5,13.94,27.22,39.51,18.24,25.88,2016
86,Montenegro,39.49,9.2,24.93,31.77,35.84,52.5,2016
87,Belarus,39.45,13.25,26.86,32.44,49.3,39.16,2016
88,Brazil,38.88,12.3,26.1,29.92,31.55,48.69,2016
89,Poland,38.53,13.54,26.52,30.76,31.71,80.77,2016
90,Russia,38.48,17.13,28.22,32.22,42.05,57.42,2016
91,Peru,38.04,13.07,26.04,35.46,25.22,47.52,2016
92,Botswana,37.65,8.49,23.64,31.46,29.96,76.27,2016
93,Malaysia,37.47,11.06,24.78,37.54,19.85,96.34,2016
94,Bolivia,37.44,10.02,24.27,30.58,24.42,53.95,2016
95,Egypt,36.71,9.63,23.69,33.13,31.8,40.3,2016
96,Bulgaria,36.36,8.45,22.95,30.9,29.89,59.19,2016
97,Indonesia,36.33,9.86,23.61,40.9,18.41,35.51,2016
98,Morocco,35.56,9.67,23.12,31.74,23.98,48.74,2016
99,Bangladesh,35.5,5.3,20.99,32.58,21.26,44.48,2016
100,Armenia,35.49,9.77,23.13,28.3,30.98,33.08,2016
101,Mexico,35.01,9.88,22.93,33.71,28.19,76.51,2016
102,Romania,34.8,8.63,22.22,28.79,29.17,61.9,2016
103,South Africa,34.75,13.18,24.38,29.15,32.27,126.1,2016
104,Philippines,34.73,6.72,21.27,34.56,18.59,42.86,2016
105,Bosnia And Herzegovina,34.59,5.83,20.77,29.77,24.07,60.64,2016
106,Sri Lanka,34.11,8.6,21.85,38.52,21.15,32.95,2016
107,Albania,33.81,7.12,20.98,27.33,27.59,43.58,2016
108,Serbia,33.56,6.69,20.65,25.77,25.64,49.62,2016
109,Syria,31.75,8.02,20.35,29.84,23.68,25.83,2016
110,North Macedonia,31.05,5.92,18.97,26.14,21.17,46.74,2016
